source,comparison,feature,MWW_pval,MWW_qval,FC,Log2FC,Log10FC,diffmean,source_true_summary,source_false_summary
BF,3_vs_6,comp_cookies.ruti.bread,0.2907691735500092,,1.537714020328481,0.6207872199337583,0.1868755741249142,0.025283660830543626,0.07 ± 0.09,0.05 ± 0.07
BF,3_vs_6,comp_halwa,0.5424695481905628,,0.0,-inf,-inf,-0.0003944221809577043,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_6,comp_khichuri,0.5586104943002392,,0.7513180133708199,-0.41250440259249777,-0.12417619852379276,-0.009992332248878594,0.03 ± 0.05,0.04 ± 0.08
BF,3_vs_6,comp_none,0.28345409706487934,,1.0115713545730434,0.016598088811547687,0.004996522602970575,0.00021089804171012944,0.02 ± 0.04,0.02 ± 0.06
BF,3_vs_6,comp_others,0.37482406071840946,,0.29022254198864494,-1.7847685149995447,-0.537268858331523,-0.03555336987877132,0.01 ± 0.02,0.05 ± 0.11
BF,3_vs_6,comp_rice.and.curry,0.25416374513625706,,0.8702100061102523,-0.20056448908379412,-0.060375927279243145,-0.09105100143314282,0.61 ± 0.31,0.7 ± 0.28
BF,3_vs_6,comp_suji,0.0479290786167719,,1.8237891955486183,0.8669389838270463,0.260974638542392,0.11452270107529058,0.25 ± 0.3,0.14 ± 0.24
BF,3_vs_6,comp_tea.drinks.juice,0.9229679499348885,,0.14564524479666138,-2.779469495504986,-0.836703690180034,-0.0030261342057939997,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_6,cough,0.13349086513908506,,1.2842971006251602,0.3609789844049695,0.1086655021102163,0.01226175961529919,0.06 ± 0.04,0.04 ± 0.05
BF,3_vs_6,days_to_recovery,,,1.158042942625836,0.21168875243306276,0.06372466422703847,8.017857142857146,58.75 ± 27.83,50.73 ± 21.27
BF,3_vs_6,diarrhoea,0.7159267336178504,,0.9337192653506562,-0.09893924448851478,-0.02978368033937518,-0.0017619764673996799,0.02 ± 0.04,0.03 ± 0.06
BF,3_vs_6,fail_child.is.sick,0.6360303659307508,,0.8364682191674835,-0.2576173674395991,-0.07755055500330878,-0.0008658724454401979,0.0 ± 0.01,0.01 ± 0.02
BF,3_vs_6,fail_child.or.parents.not.at.home,0.5606795563619127,,0.8138813841109853,-0.2971095448974668,-0.08943888501221185,-0.005001406571358388,0.02 ± 0.04,0.03 ± 0.08
BF,3_vs_6,fail_child.refused.to.take,0.39361943266574606,,0.5504127215554758,-0.8614142798021157,-0.2593115369137224,-0.00659357489781609,0.01 ± 0.01,0.01 ± 0.04
BF,3_vs_6,fail_child.vomiting,0.6021461366199528,,0.0,-inf,-inf,-0.0004106559783862164,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_6,fail_no.failure,0.9060450666426019,,1.0239777003728856,0.034184297455338325,0.01029049891475674,0.022584844716031616,0.96 ± 0.05,0.94 ± 0.12
BF,3_vs_6,fail_other,0.5063637906209827,,0.9840848034987141,-0.0231454497340987,-0.006967474633096627,-1.3740515201055904e-05,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_6,fail_parents.refused.to.feed,0.9929906091230393,,0.028369383845298857,-5.139521372718496,-1.5471500965443876,-0.009699594307829679,0.0 ± 0.0,0.01 ± 0.07
BF,3_vs_6,fever,0.7193006840726779,,0.546397558766935,-0.8719770570183347,-0.2624912496933204,-0.00022262516253520286,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_6,ors,0.6493183098926545,,0.48613729758276064,-1.0405642695996749,-0.3132410575656839,-0.004788459122671301,0.0 ± 0.01,0.01 ± 0.01
BF,3_vs_6,rash,0.26858160150720733,,0.0,-inf,-inf,-0.003781484970761764,0.0 ± 0.0,0.0 ± 0.02
BF,3_vs_6,zinc,0.37733933010530296,,0.45329334516657827,-1.1414831138215291,-0.3436206568042027,-0.0017403707780735405,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_5,antibiotic,0.6099307352480764,,1.206008774786835,0.2702404041661883,0.08135046769438019,0.008553141885273029,0.05 ± 0.03,0.04 ± 0.03
BF,3_vs_5,base_temp,0.4921857228233024,,1.0040180813661475,0.005785251024124685,0.0017415340907072966,0.14545454545454106,36.35 ± 0.32,36.2 ± 0.16
BF,3_vs_5,comp_cookies.ruti.bread,0.3920093671241226,,2.447209893150909,1.291137844295001,0.3886712196697262,0.04275869800884008,0.07 ± 0.09,0.03 ± 0.05
BF,3_vs_5,comp_halwa,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_5,comp_khichuri,0.4538419320508955,,0.8484644551715343,-0.23707387285883286,-0.07136634691873768,-0.005391718392762774,0.03 ± 0.05,0.04 ± 0.03
BF,3_vs_5,comp_none,0.15739501951149903,,inf,inf,inf,0.018436771285750074,0.02 ± 0.04,0.0 ± 0.0
BF,3_vs_5,comp_others,0.951754001469391,,0.43086470313405223,-1.2146931786140969,-0.3656590822912691,-0.019202789150637965,0.01 ± 0.02,0.03 ± 0.06
BF,3_vs_5,comp_rice.and.curry,0.2338883864288298,,0.7386117677950375,-0.4371118466894927,-0.1315837773136128,-0.21604160568215625,0.61 ± 0.31,0.83 ± 0.16
BF,3_vs_5,comp_suji,0.2537428552343811,,3.7120109307100804,1.8922009587569744,0.569609246409993,0.18523895342552463,0.25 ± 0.3,0.07 ± 0.1
BF,3_vs_5,comp_tea.drinks.juice,0.0538102093150412,,0.08170127636500804,-3.613497572957207,-1.0877711587191146,-0.0057983094945578805,0.0 ± 0.0,0.01 ± 0.01
BF,3_vs_5,cough,0.5699571724964589,,1.3306242827702923,0.4121032670399769,0.12405544469015672,0.013763382255172894,0.06 ± 0.04,0.04 ± 0.04
BF,3_vs_5,days_to_recovery,,,0.6456043956043956,-0.6312776936336965,-0.19003352137731971,-32.25,58.75 ± 27.83,91.0 ± nan
BF,3_vs_5,diarrhoea,0.09166884231589312,,7.77135317611501,2.958165827783161,0.8904966463109023,0.021627580128422523,0.02 ± 0.04,0.0 ± 0.0
BF,3_vs_5,fail_child.is.sick,0.24135898205942485,,0.3824773694986681,-1.3865537062400184,-0.4173942561773098,-0.007150696282628607,0.0 ± 0.01,0.01 ± 0.02
BF,3_vs_5,fail_child.or.parents.not.at.home,0.9006521539366837,,0.9184351316929935,-0.12275026629942899,-0.036951512131869646,-0.0019423080614234742,0.02 ± 0.04,0.02 ± 0.03
BF,3_vs_5,fail_child.refused.to.take,1.0,,0.5923800381589397,-0.7554050689370477,-0.22739958462666893,-0.005554569710622405,0.01 ± 0.01,0.01 ± 0.02
BF,3_vs_5,fail_child.vomiting,0.17752985241215347,,0.0,-inf,-inf,-0.0031446540880503,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_5,fail_no.failure,1.0,,1.0182784252119494,0.02613208769259622,0.007866542244793016,0.017312999351236535,0.96 ± 0.05,0.95 ± 0.07
BF,3_vs_5,fail_other,0.6936602076370353,,1.299915038232806,0.37841733254158183,0.1139149679741677,0.0001960229008057526,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_5,fail_parents.refused.to.feed,0.5896385516265671,,inf,inf,inf,0.00028320589068251816,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_5,fever,0.5546281960154005,,0.23129525341914728,-2.112192435220747,-0.6358332796159953,-0.0008912518800937327,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_5,ors,0.3641084593689966,,2.369972095156419,1.244870072449924,0.37474323251182057,0.0026186419379608233,0.0 ± 0.01,0.0 ± 0.0
BF,3_vs_5,rash,0.038645943042409016,,0.0,-inf,-inf,-0.00427962489343562,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_5,zinc,0.5896385516265671,,inf,inf,inf,0.0014430014430014363,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,antibiotic,0.7938226606250754,,0.9917739782733264,-0.011916721833338405,-0.0035872907218187297,-0.00041530539029904084,0.05 ± 0.03,0.05 ± 0.04
BF,3_vs_2,base_temp,0.2606258523133934,,1.0054067647428644,0.007779301156212638,0.0023418029933234942,0.19545454545454533,36.35 ± 0.32,36.15 ± 0.24
BF,3_vs_2,comp_cookies.ruti.bread,0.17752985241215347,,4.390843386392889,2.1344980770051496,0.6425479468656363,0.05583724139269727,0.07 ± 0.09,0.02 ± 0.03
BF,3_vs_2,comp_halwa,0.13166801602281422,,0.0,-inf,-inf,-0.0007716049382716,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,comp_khichuri,0.9412930380417012,,2.229215189759308,1.1565358890130293,0.34815199365483085,0.016646474279147838,0.03 ± 0.05,0.01 ± 0.02
BF,3_vs_2,comp_none,1.0,,0.5430467178711843,-0.8808517776278416,-0.26516280679991927,-0.015513845998200528,0.02 ± 0.04,0.03 ± 0.07
BF,3_vs_2,comp_others,0.10564542920187692,,0.053432934292997586,-4.2261269442083185,-1.2721909756904641,-0.2575325190077894,0.01 ± 0.02,0.27 ± 0.46
BF,3_vs_2,comp_rice.and.curry,0.7531135531135531,,1.3361302177583125,0.4180606181108596,0.12584878605719335,0.1535770631432603,0.61 ± 0.31,0.46 ± 0.41
BF,3_vs_2,comp_suji,0.25843027683808895,,1.2289923793124253,0.2974759699316823,0.0895491899386729,0.04724131402481946,0.25 ± 0.3,0.21 ± 0.41
BF,3_vs_2,comp_tea.drinks.juice,0.43988171285153466,,inf,inf,inf,0.0005158771043364999,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,cough,0.12977048734769622,,2.349014686196934,1.2320557332041977,0.3708857320242428,0.031810962885285024,0.06 ± 0.04,0.02 ± 0.03
BF,3_vs_2,days_to_recovery,,,1.119047619047619,0.1622714288988771,0.04884856753781701,6.25,58.75 ± 27.83,52.5 ± 3.54
BF,3_vs_2,diarrhoea,0.5100891118736621,,0.5530225786190883,-0.8545897113589923,-0.25725713710488035,-0.020061889444762785,0.02 ± 0.04,0.04 ± 0.06
BF,3_vs_2,fail_child.is.sick,1.0,,0.9566541268963007,-0.06393067446453667,-0.019245050656854865,-0.00020067533844305221,0.0 ± 0.01,0.0 ± 0.01
BF,3_vs_2,fail_child.or.parents.not.at.home,0.9435528345955494,,0.5069645303686164,-0.9800432818823559,-0.2950224248955595,-0.021269831540383248,0.02 ± 0.04,0.04 ± 0.08
BF,3_vs_2,fail_child.refused.to.take,0.4789132889266381,,2.092331002704793,1.0651111011958019,0.3206303901746305,0.004214239979570935,0.01 ± 0.01,0.0 ± 0.01
BF,3_vs_2,fail_child.vomiting,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,fail_no.failure,0.739598552509219,,1.0170011843056583,0.02432135922580176,0.007321458662285233,0.016123443336525267,0.96 ± 0.05,0.95 ± 0.1
BF,3_vs_2,fail_other,0.6510766340778344,,inf,inf,inf,0.0008496176720475726,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,fail_parents.refused.to.feed,0.6510766340778344,,inf,inf,inf,0.00028320589068251816,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,fever,0.07620307384925655,,0.09642796157387186,-3.374404639018432,-1.0157970138522368,-0.0025128549094538977,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,ors,0.5357239360626169,,0.4438038672621512,-1.1720058557985429,-0.3528089176891959,-0.0056773348903734365,0.0 ± 0.01,0.01 ± 0.01
BF,3_vs_2,rash,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_2,zinc,0.5811475588273919,,0.6426166426166405,-0.6379697503843224,-0.19204803119194372,-0.0008025075390344887,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_1,antibiotic,0.15644043235704402,,2.441179416223615,1.287578330917473,0.3875996993731231,0.029560295843120747,0.05 ± 0.03,0.02 ± 0.02
BF,3_vs_1,base_temp,0.6078082191283395,,0.9979531725824973,-0.0029559739821453553,-0.0008898368350280576,-0.0745454545454507,36.35 ± 0.32,36.42 ± 0.28
BF,3_vs_1,comp_cookies.ruti.bread,0.11633646029359049,,5.573555794408439,2.478598025990159,0.74613235301657,0.05933156419925163,0.07 ± 0.09,0.01 ± 0.02
BF,3_vs_1,comp_halwa,0.17752985241215347,,0.0,-inf,-inf,-0.00504731861198738,0.0 ± 0.0,0.01 ± 0.01
BF,3_vs_1,comp_khichuri,0.2503162997393371,,0.5212729700738901,-0.9398890420729048,-0.28293479425983,-0.027724842202515875,0.03 ± 0.05,0.06 ± 0.09
BF,3_vs_1,comp_none,0.7829473531336573,,0.4565981638736543,-1.1310030368483999,-0.3404658392784234,-0.02194177761014897,0.02 ± 0.04,0.04 ± 0.09
BF,3_vs_1,comp_others,1.0,,1.2818554292111572,0.3582335604579926,0.10783904715136206,0.003196517364311237,0.01 ± 0.02,0.01 ± 0.02
BF,3_vs_1,comp_rice.and.curry,0.26739926739926745,,0.7710909419410893,-0.3750270742409476,-0.11289439853262799,-0.18122786090101994,0.61 ± 0.31,0.79 ± 0.36
BF,3_vs_1,comp_suji,0.30433813317285985,,3.325680018277573,1.7336493657834313,0.52188046106465,0.17730444762918557,0.25 ± 0.3,0.08 ± 0.15
BF,3_vs_1,comp_tea.drinks.juice,0.26432508651395403,,0.11706900744340618,-3.0945689039821254,-0.9315580637476303,-0.0038907298670763793,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_1,cough,0.3576065605847907,,1.2802468325260217,0.356421989702192,0.1072937100145984,0.012125310592875096,0.06 ± 0.04,0.04 ± 0.07
BF,3_vs_1,days_to_recovery,,,0.7436708860759493,-0.42726380161210326,-0.12861922034666756,-20.25,58.75 ± 27.83,79.0 ± nan
BF,3_vs_1,diarrhoea,0.7753941268959278,,0.4637561083091821,-1.1085618107402737,-0.33371035708039976,-0.028701316990964256,0.02 ± 0.04,0.05 ± 0.1
BF,3_vs_1,fail_child.is.sick,0.24470558449090396,,inf,inf,inf,0.004428954291186573,0.0 ± 0.01,0.0 ± 0.0
BF,3_vs_1,fail_child.or.parents.not.at.home,0.9006521539366837,,0.5335644909281674,-0.906265437484909,-0.2728130807164981,-0.019119130924197612,0.02 ± 0.04,0.04 ± 0.09
BF,3_vs_1,fail_child.refused.to.take,1.0,,0.4834551914544907,-1.0485459136900728,-0.3156437718516078,-0.008624762920487064,0.01 ± 0.01,0.02 ± 0.03
BF,3_vs_1,fail_child.vomiting,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_1,fail_no.failure,0.8181043348855701,,1.0235400695759065,0.033567582133573644,0.010104849104120005,0.022182115990767914,0.96 ± 0.05,0.94 ± 0.12
BF,3_vs_1,fail_other,0.5896385516265671,,inf,inf,inf,0.0008496176720475726,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_1,fail_parents.refused.to.feed,0.5896385516265671,,inf,inf,inf,0.00028320589068251816,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_1,fever,0.5896385516265671,,inf,inf,inf,0.0002681684097613273,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_1,ors,0.11633646029359049,,0.3449622115094405,-1.53548976271783,-0.4622284766130359,-0.008602059884156976,0.0 ± 0.01,0.01 ± 0.01
BF,3_vs_1,rash,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_1,zinc,0.1836857122374519,,0.22451139546727708,-2.155139421560597,-0.6487616107276614,-0.004984295665896345,0.0 ± 0.0,0.01 ± 0.01
BF,3_vs_4,antibiotic,0.5086968557661546,,1.2040503146980135,0.2678956805100916,0.08064463554235217,0.008485609817559615,0.05 ± 0.03,0.04 ± 0.04
BF,3_vs_4,base_temp,0.6160847222502677,,1.0026332288401254,0.003793953205033547,0.0011420937168605963,0.0954545454545439,36.35 ± 0.32,36.25 ± 0.23
BF,3_vs_4,comp_cookies.ruti.bread,0.4016388352033995,,1.2517228438881571,0.3239151565098521,0.09750817815965855,0.014540475903241104,0.07 ± 0.09,0.06 ± 0.12
BF,3_vs_4,comp_halwa,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_4,comp_khichuri,0.30323403503006285,,1.2860451716875527,0.3629413174909722,0.10925622323058698,0.006714670989690464,0.03 ± 0.05,0.02 ± 0.03
BF,3_vs_4,comp_none,0.7027519537550531,,0.39202796032293963,-1.3509715405960987,-0.40668295700780555,-0.02859245405461206,0.02 ± 0.04,0.05 ± 0.08
BF,3_vs_4,comp_others,0.0781934473677527,,0.41418399591946925,-1.2716562860264022,-0.3828066862686023,-0.020561634206186834,0.01 ± 0.02,0.04 ± 0.03
BF,3_vs_4,comp_rice.and.curry,0.5998782778968538,,0.8528428351153869,-0.22964819377834003,-0.06913099477733481,-0.10533676933316316,0.61 ± 0.31,0.72 ± 0.25
BF,3_vs_4,comp_suji,0.22394225550914548,,2.182971323063949,1.126293178269532,0.3390480305708488,0.13739670434499326,0.25 ± 0.3,0.12 ± 0.21
BF,3_vs_4,comp_tea.drinks.juice,0.8965748463114522,,0.11030390449085906,-3.1804442351466315,-0.9574091143157245,-0.004160993643962813,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_4,cough,0.16926991348330545,,1.9361449167282303,0.9531869396066688,0.286937860296759,0.026782498694348948,0.06 ± 0.04,0.03 ± 0.03
BF,3_vs_4,days_to_recovery,,,1.1908783783783783,0.252026081657206,0.07586741026847889,9.416666666666664,58.75 ± 27.83,49.33 ± 24.68
BF,3_vs_4,diarrhoea,0.5321042703838639,,0.46389196274041844,-1.1081392442050857,-0.33358315187814436,-0.02868564239238466,0.02 ± 0.04,0.05 ± 0.08
BF,3_vs_4,fail_child.is.sick,0.6524444845255097,,0.2594088979336804,-1.9467001288496677,-0.586015131346687,-0.012644300814807764,0.0 ± 0.01,0.02 ± 0.04
BF,3_vs_4,fail_child.or.parents.not.at.home,0.35935662678223956,,0.35334616609042013,-1.5008458394643331,-0.45179961654625245,-0.040025331224702435,0.02 ± 0.04,0.06 ± 0.09
BF,3_vs_4,fail_child.refused.to.take,1.0,,0.2871460025295822,-1.8001436173385577,-0.5418972253219694,-0.020039791912889668,0.01 ± 0.01,0.03 ± 0.05
BF,3_vs_4,fail_child.vomiting,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_4,fail_no.failure,0.1845121669146198,,1.0862240513565546,0.11932171312587654,0.03591941478490142,0.07656126296635701,0.96 ± 0.05,0.89 ± 0.13
BF,3_vs_4,fail_other,0.45554509378932995,,inf,inf,inf,0.0008496176720475726,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_4,fail_parents.refused.to.feed,0.816281639940913,,0.056815458684616,-4.137572669669654,-1.2455334828100633,-0.004701456686004594,0.0 ± 0.0,0.0 ± 0.01
BF,3_vs_4,fever,0.32959985261092084,,0.3132060084417983,-1.6748162058023424,-0.5041699151706446,-0.0005880361410244852,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_4,ors,0.8272451412930657,,0.6426962504717939,-0.6377910392570785,-0.19199423378208438,-0.0025184854011604486,0.0 ± 0.01,0.01 ± 0.01
BF,3_vs_4,rash,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_4,zinc,0.45554509378932995,,inf,inf,inf,0.0014430014430014363,0.0 ± 0.0,0.0 ± 0.0
BF,3_vs_7,antibiotic,0.16666666666666666,,0.3700404468529519,-1.4342451233755549,-0.4317508032708295,-0.0852420517459702,0.05 ± 0.03,0.14 ± nan
BF,3_vs_7,base_temp,0.5602782873970726,,0.9957658779576587,-0.006121515660049349,-0.0018427598326016485,-0.1545454545454561,36.35 ± 0.32,36.5 ± nan
BF,3_vs_7,comp_cookies.ruti.bread,0.7704930827944241,,2.738525637508889,1.4533993866413457,0.43751681105867724,0.04590166699693435,0.07 ± 0.09,0.03 ± nan
BF,3_vs_7,comp_halwa,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,comp_khichuri,0.7466731726289577,,3.0490722344183694,1.608370329095686,0.4841677131937503,0.020287843905132365,0.03 ± 0.05,0.01 ± nan
BF,3_vs_7,comp_none,0.6051306860284573,,inf,inf,inf,0.018436771285750074,0.02 ± 0.04,0.0 ± nan
BF,3_vs_7,comp_others,0.22955621387891967,,0.36707186029489286,-1.4458655731196175,-0.4352489072068982,-0.02506646097842008,0.01 ± 0.02,0.04 ± nan
BF,3_vs_7,comp_rice.and.curry,0.8333333333333333,,0.852413819907627,-0.23037411163233174,-0.06934951782577434,-0.10569703326747504,0.61 ± 0.31,0.72 ± nan
BF,3_vs_7,comp_suji,0.7716705035436164,,1.2194168966822811,0.28619144175065314,0.08615220846926765,0.04562133495374163,0.25 ± 0.3,0.21 ± nan
BF,3_vs_7,comp_tea.drinks.juice,0.8237838788539288,,inf,inf,inf,0.0005158771043364999,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,cough,0.146793087308571,,0.45361433830279035,-1.1404618517161313,-0.34331322627704297,-0.06672036132936224,0.06 ± 0.04,0.12 ± nan
BF,3_vs_7,days_to_recovery,,,,,,,58.75 ± 27.83,nan ± nan
BF,3_vs_7,diarrhoea,0.5595836997752428,,0.9401166654365148,-0.08908829320055155,-0.026818248515873517,-0.0015810781402900362,0.02 ± 0.04,0.03 ± nan
BF,3_vs_7,fail_child.is.sick,0.08480628179936618,,0.060998779555887804,-4.035075811792353,-1.2146788541276874,-0.06817830643488602,0.0 ± 0.01,0.07 ± nan
BF,3_vs_7,fail_child.or.parents.not.at.home,0.2161303837338221,,0.38981376285438013,-1.3591430672693805,-0.40914283164683174,-0.03423487139100837,0.02 ± 0.04,0.06 ± nan
BF,3_vs_7,fail_child.refused.to.take,0.1331284841960598,,0.10191234147047781,-3.2945993240496745,-0.9917732202332289,-0.07113565612115026,0.01 ± 0.01,0.08 ± nan
BF,3_vs_7,fail_child.vomiting,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,fail_no.failure,0.14466148777280907,,1.217675213110197,0.2841293787946213,0.08553146566655451,0.17241601038431453,0.96 ± 0.05,0.79 ± nan
BF,3_vs_7,fail_other,1.0,,inf,inf,inf,0.0008496176720475726,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,fail_parents.refused.to.feed,1.0,,inf,inf,inf,0.00028320589068251816,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,fever,1.0,,inf,inf,inf,0.0002681684097613273,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,ors,0.1331284841960598,,0.17157747479501217,-2.543067930946113,-0.765539728225918,-0.021872541919603635,0.0 ± 0.01,0.03 ± nan
BF,3_vs_7,rash,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± nan
BF,3_vs_7,zinc,1.0,,inf,inf,inf,0.0014430014430014363,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,antibiotic,0.6666666666666666,,2.9542172968227556,1.5627759471314262,0.4704424365887473,0.03312232706479231,0.05 ± 0.03,0.02 ± nan
BF,3_vs_0,base_temp,0.5602782873970726,,0.9957658779576587,-0.006121515660049349,-0.0018427598326016485,-0.1545454545454561,36.35 ± 0.32,36.5 ± nan
BF,3_vs_0,comp_cookies.ruti.bread,0.3020282281097767,,inf,inf,inf,0.07230430726096075,0.07 ± 0.09,0.0 ± nan
BF,3_vs_0,comp_halwa,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,comp_khichuri,0.6051306860284573,,inf,inf,inf,0.030188834004142264,0.03 ± 0.05,0.0 ± nan
BF,3_vs_0,comp_none,0.6051306860284573,,inf,inf,inf,0.018436771285750074,0.02 ± 0.04,0.0 ± nan
BF,3_vs_0,comp_others,0.4394915427736542,,inf,inf,inf,0.014537499417619516,0.01 ± 0.02,0.0 ± nan
BF,3_vs_0,comp_rice.and.curry,0.5,,2.770615419212326,1.4702064685599463,0.4425762468557577,0.3901356008433937,0.61 ± 0.31,0.22 ± nan
BF,3_vs_0,comp_suji,0.24573870033984924,,0.3251953368466092,-1.620621524917553,-0.48785569061888556,-0.526118889916203,0.25 ± 0.3,0.78 ± nan
BF,3_vs_0,comp_tea.drinks.juice,0.8237838788539288,,inf,inf,inf,0.0005158771043364999,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,cough,0.24324270574265683,,inf,inf,inf,0.055391849891759874,0.06 ± 0.04,0.0 ± nan
BF,3_vs_0,days_to_recovery,,,1.2239583333333333,0.29155444584384343,0.08776663356818663,10.75,58.75 ± 27.83,48.0 ± nan
BF,3_vs_0,diarrhoea,0.3020282281097767,,inf,inf,inf,0.024821562123736363,0.02 ± 0.04,0.0 ± nan
BF,3_vs_0,fail_child.is.sick,0.7037713143937078,,inf,inf,inf,0.004428954291186573,0.0 ± 0.01,0.0 ± nan
BF,3_vs_0,fail_child.or.parents.not.at.home,0.5182416111597716,,inf,inf,inf,0.021870739170047726,0.02 ± 0.04,0.0 ± nan
BF,3_vs_0,fail_child.refused.to.take,1.0,,2.3813180779240897,1.2517603374477668,0.37681740895424487,0.0046824341624544345,0.01 ± 0.01,0.0 ± nan
BF,3_vs_0,fail_child.vomiting,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,fail_no.failure,0.7704930827944241,,0.9677758142857361,-0.04725520965697206,-0.014225235558138823,-0.03211495118641894,0.96 ± 0.05,1.0 ± nan
BF,3_vs_0,fail_other,1.0,,inf,inf,inf,0.0008496176720475726,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,fail_parents.refused.to.feed,1.0,,inf,inf,inf,0.00028320589068251816,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,fever,1.0,,inf,inf,inf,0.0002681684097613273,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,ors,0.4394915427736542,,inf,inf,inf,0.0045300983444227635,0.0 ± 0.01,0.0 ± nan
BF,3_vs_0,rash,1.0,,,,,0.0,0.0 ± 0.0,0.0 ± nan
BF,3_vs_0,zinc,1.0,,inf,inf,inf,0.0014430014430014363,0.0 ± 0.0,0.0 ± nan
BF,6_vs_5,antibiotic,0.664451093831574,,1.0215507489502864,0.030760876553051195,0.009259946535385262,0.0008947512730777055,0.04 ± 0.05,0.04 ± 0.03
BF,6_vs_5,base_temp,0.672540502480917,,0.9998571156410745,-0.00020615328443313507,-6.205832231902213e-05,-0.005172413793104624,36.19 ± 0.22,36.2 ± 0.16
BF,6_vs_5,comp_cookies.ruti.bread,0.7401856122914853,,1.5914596997874448,0.6703506243612425,0.2017956455448119,0.01747503717829645,0.05 ± 0.07,0.03 ± 0.05
BF,6_vs_5,comp_halwa,0.6895832079258306,,inf,inf,inf,0.0003944221809577043,0.0 ± 0.0,0.0 ± 0.0
BF,6_vs_5,comp_khichuri,0.5830491035265293,,1.1293013611704354,0.175430529733665,0.052809851605055094,0.0046006138561158205,0.04 ± 0.08,0.04 ± 0.03
BF,6_vs_5,comp_none,0.2538118287855764,,inf,inf,inf,0.018225873244039945,0.02 ± 0.06,0.0 ± 0.0
BF,6_vs_5,comp_others,0.642749781464047,,1.4846010932910578,0.5700753363854478,0.171609776040254,0.016350580728133356,0.05 ± 0.11,0.03 ± 0.06
BF,6_vs_5,comp_rice.and.curry,0.442162613968863,,0.8487741609597834,-0.23654735760569862,-0.07120785003436966,-0.12499060424901343,0.7 ± 0.28,0.83 ± 0.16
BF,6_vs_5,comp_suji,0.9724689665369677,,2.035328940301931,1.0252619749299279,0.308634607867601,0.07071625235023404,0.14 ± 0.24,0.07 ± 0.1
BF,6_vs_5,comp_tea.drinks.juice,0.009132455262730344,,0.5609608228478248,-0.834028077452221,-0.25106746853908063,-0.002772175288763881,0.0 ± 0.01,0.01 ± 0.01
BF,6_vs_5,cough,0.7508669186946914,,1.0360720133391108,0.051124282635007436,0.015389942579940438,0.0015016226398737037,0.04 ± 0.05,0.04 ± 0.04
